model,features,n_feats,f1_macro,accuracy
logistic_regression,tfidf_cos + ner_jaccard + ner_jaccard_person + ner_jaccard_org,4,0.4206349206349206,0.5263157894736842
logistic_regression,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,6,0.4201680672268907,0.5263157894736842
logistic_regression,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,7,0.4201680672268907,0.5263157894736842
random_forest,tfidf_cos + jaccard_sim + ner_jaccard_org,3,0.4201680672268907,0.5263157894736842
logistic_regression,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,5,0.4201680672268907,0.5263157894736842
logistic_regression,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.4201680672268907,0.5263157894736842
gradient_boosting,dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,4,0.4198412698412698,0.5263157894736842
gradient_boosting,tfidf_cos + ner_jaccard + semantic_sim,3,0.4173076923076923,0.47368421052631576
random_forest,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person + semantic_sim,5,0.4166666666666667,0.5263157894736842
gradient_boosting,tfidf_cos + ner_jaccard,2,0.4163059163059163,0.5263157894736842
naive_bayes,tfidf_cos + jaccard_sim + semantic_sim,3,0.4159090909090909,0.5263157894736842
naive_bayes,tfidf_cos + semantic_sim,2,0.4159090909090909,0.5263157894736842
random_forest,dice_sim + ner_jaccard_person,2,0.41587301587301584,0.5263157894736842
gradient_boosting,dice_sim + ner_jaccard_org + semantic_sim,3,0.41428571428571426,0.5263157894736842
naive_bayes,jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.41388888888888886,0.5263157894736842
svm,jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.4133771929824561,0.5263157894736842
svm,dice_sim + ner_jaccard_org,2,0.4112394957983193,0.5263157894736842
naive_bayes,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_org + semantic_sim,5,0.4111111111111111,0.5263157894736842
random_forest,dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,4,0.4075757575757576,0.5263157894736842
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person + semantic_sim,5,0.40694444444444444,0.5263157894736842
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + semantic_sim,5,0.40694444444444444,0.5263157894736842
naive_bayes,jaccard_sim + dice_sim + ner_jaccard_person + semantic_sim,4,0.40694444444444444,0.5263157894736842
naive_bayes,dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,4,0.40694444444444444,0.5263157894736842
naive_bayes,tfidf_cos + dice_sim + ner_jaccard + semantic_sim,4,0.40694444444444444,0.5263157894736842
random_forest,tfidf_cos + ner_jaccard + ner_jaccard_org + semantic_sim,4,0.40694444444444444,0.5263157894736842
random_forest,tfidf_cos + dice_sim + ner_jaccard_org + semantic_sim,4,0.40694444444444444,0.5263157894736842
random_forest,tfidf_cos + dice_sim + ner_jaccard_person + semantic_sim,4,0.40694444444444444,0.5263157894736842
naive_bayes,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,5,0.40694444444444444,0.5263157894736842
random_forest,dice_sim + semantic_sim,2,0.40694444444444444,0.5263157894736842
random_forest,tfidf_cos + dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.40625,0.5263157894736842
